id,uri,dataInicio,dataFim
56,https://dadosabertos.camara.leg.br/api/v2/legislaturas/56,2019-02-01,2023-01-31
55,https://dadosabertos.camara.leg.br/api/v2/legislaturas/55,2015-02-01,2019-01-31
54,https://dadosabertos.camara.leg.br/api/v2/legislaturas/54,2011-02-01,2015-01-31
53,https://dadosabertos.camara.leg.br/api/v2/legislaturas/53,2007-02-01,2011-01-31
52,https://dadosabertos.camara.leg.br/api/v2/legislaturas/52,2003-02-01,2007-01-31
51,https://dadosabertos.camara.leg.br/api/v2/legislaturas/51,1999-02-01,2003-01-31
50,https://dadosabertos.camara.leg.br/api/v2/legislaturas/50,1995-02-01,1999-01-31
49,https://dadosabertos.camara.leg.br/api/v2/legislaturas/49,1991-02-01,1995-01-31
48,https://dadosabertos.camara.leg.br/api/v2/legislaturas/48,1987-02-01,1991-01-31
47,https://dadosabertos.camara.leg.br/api/v2/legislaturas/47,1983-02-01,1987-01-31
46,https://dadosabertos.camara.leg.br/api/v2/legislaturas/46,1979-02-01,1983-01-31
45,https://dadosabertos.camara.leg.br/api/v2/legislaturas/45,1975-02-01,1979-01-31
44,https://dadosabertos.camara.leg.br/api/v2/legislaturas/44,1971-02-01,1975-01-31
43,https://dadosabertos.camara.leg.br/api/v2/legislaturas/43,1967-02-01,1971-01-31
42,https://dadosabertos.camara.leg.br/api/v2/legislaturas/42,1963-02-01,1967-01-31
41,https://dadosabertos.camara.leg.br/api/v2/legislaturas/41,1959-02-01,1963-01-31
40,https://dadosabertos.camara.leg.br/api/v2/legislaturas/40,1955-02-01,1959-01-31
39,https://dadosabertos.camara.leg.br/api/v2/legislaturas/39,1951-03-10,1955-01-31
38,https://dadosabertos.camara.leg.br/api/v2/legislaturas/38,1946-09-23,1951-03-09
37,https://dadosabertos.camara.leg.br/api/v2/legislaturas/37,1935-04-28,1937-11-10
36,https://dadosabertos.camara.leg.br/api/v2/legislaturas/36,1934-07-21,1935-04-27
