ano,temas_classificador
1934,1
1945,0
1946,40
1947,227
1948,268
1949,289
1950,266
1951,327
1952,290
1953,312
1954,266
1955,146
1956,236
1957,332
1958,280
1959,354
1960,246
1961,256
1962,256
1963,310
1964,130
1965,118
1966,86
1967,120
1968,126
1969,5
1970,46
1971,66
1972,85
1973,88
1974,105
1975,212
1976,218
1977,220
1978,204
1979,434
1980,268
1981,231
1982,156
1983,469
1984,295
1985,373
1986,241
1987,64
1988,211
1989,604
1990,413
1991,502
1992,147
1993,223
1994,104
1995,403
1996,271
1997,430
1998,226
1999,633
2000,623
2001,990
2002,1316
2003,1880
2004,657
2005,737
2006,631
2007,931
2008,1183
2009,1213
2010,821
2011,857
2012,454
2013,825
2014,363
2015,660
2016,398
2017,519
2018,395
2019,804
2020,506
2021,531
